pdb_id,ligand,source,scenario,pose_name,pose_path,status,method,rmsd_angstrom,n_atoms_ref,n_atoms_pose,n_atoms_mapped,mapping_coverage,ref_residue,pose_residue,error
4E5Q,0NM,diffdock_sdf,diffdock,rank2_confidence0.86|idx_2,output/diffdock_workflow/poses/4E5Q/complex_0/rank2_confidence0.86.sdf,ok,element_sorted_fallback,1.5870298829060707,3.0,3.0,3.0,1.0,0NM|A|302,SDF|LIG|1,No sub-structure match found between the reference and probe mol
4E5Q,0NM,diffdock_sdf,diffdock,rank3_confidence0.86|idx_3,output/diffdock_workflow/poses/4E5Q/complex_0/rank3_confidence0.86.sdf,ok,element_sorted_fallback,1.6882526066279937,3.0,3.0,3.0,1.0,0NM|A|302,SDF|LIG|1,No sub-structure match found between the reference and probe mol
4E5Q,0NM,diffdock_sdf,diffdock,rank4_confidence0.82|idx_4,output/diffdock_workflow/poses/4E5Q/complex_0/rank4_confidence0.82.sdf,ok,element_sorted_fallback,0.2248926882621103,3.0,3.0,3.0,1.0,0NM|A|302,SDF|LIG|1,No sub-structure match found between the reference and probe mol
4E5Q,0NM,diffdock_complex_pdb,diffdock,4E5Q_diffdock_complex,output/diffdock_workflow/complexes/4E5Q_diffdock_complex.pdb,ok,rdkit_best_rms,0.0436726518541563,3.0,3.0,3.0,1.0,0NM|A|302,UNL|L|1,
4E5Q,0NM,boltz_cif,crystal_pocket,4E5Q_crystal_pocket_model_0|idx_0,output/boltz_results_boltz_inputs/predictions/4E5Q_crystal_pocket/4E5Q_crystal_pocket_model_0.cif,ok,rdkit_best_rms,0.05808559627996313,3.0,3.0,3.0,1.0,0NM|A|302,LIG1|0NM|1,
4E5Q,0NM,boltz_cif,default,4E5Q_default_model_0|idx_0,output/boltz_results_boltz_inputs/predictions/4E5Q_default/4E5Q_default_model_0.cif,ok,rdkit_best_rms,0.05533590014710816,3.0,3.0,3.0,1.0,0NM|A|302,LIG1|0NM|1,
4E5Q,0NM,boltz_cif,diffdock_pocket,4E5Q_diffdock_pocket_model_0|idx_0,output/boltz_results_boltz_inputs/predictions/4E5Q_diffdock_pocket/4E5Q_diffdock_pocket_model_0.cif,ok,rdkit_best_rms,0.05997744038587762,3.0,3.0,3.0,1.0,0NM|A|302,LIG1|0NM|1,
4HT0,V50,diffdock_sdf,diffdock,rank1|idx_1,output/diffdock_workflow/poses/4HT0/complex_0/rank1.sdf,ok_low_coverage,atom_name,2.262622204566763,23.0,23.0,6.0,0.2608695652173913,V50|A|304,SDF|LIG|1,No sub-structure match found between the reference and probe mol
4HT0,V50,diffdock_sdf,diffdock,rank1_confidence-0.22|idx_1,output/diffdock_workflow/poses/4HT0/complex_0/rank1_confidence-0.22.sdf,ok_low_coverage,atom_name,2.262622204566763,23.0,23.0,6.0,0.2608695652173913,V50|A|304,SDF|LIG|1,No sub-structure match found between the reference and probe mol
4HT0,V50,diffdock_sdf,diffdock,rank2_confidence-0.25|idx_2,output/diffdock_workflow/poses/4HT0/complex_0/rank2_confidence-0.25.sdf,ok_low_coverage,atom_name,2.5108029169957162,23.0,23.0,6.0,0.2608695652173913,V50|A|304,SDF|LIG|1,No sub-structure match found between the reference and probe mol
